"crypto_name","count(trade_date)"
"Compendia","14"
"Compound","89"
"Compound 0x","84"
"Compound Augur","84"
"Compound Basic Attention Token","85"
"Compound Coin","88"
"Compound Dai","220"
"Compound Ether","75"
"Compound SAI","61"
"Compound USD Coin","259"
"Compound USDT","85"
"Compound Wrapped BTC","84"
"Conceal","615"
"Concierge Coin","337"
"Concoin","1137"
"Condensate","882"
"Coni","811"
"Connect Coin","511"
"ConnectJob","678"
"Connectome","86"
"Consentium","786"
"Constant","567"
"Constellation","846"
"Content Neutrality Network","877"
"Content Value Network","641"
"Content and AD Network","942"
"ContentBox","817"
"Contentos","474"
"Contents Protocol","436"
"ContractNet","470"
"Contribute","20"
"Convertible ACXT","19"
"Cortex","909"
"Cosmo Coin","812"
"Cosmos","574"
"CottonCoin","388"
"Couchain","846"
"Counos Coin","320"
"Counos X","186"
"Counterparty","1751"
"Countinghouse","256"
"Coupon Chain","97"
"Covesting","996"
"Cowboy.Finance","53"
"Crave","899"
"Cream","1131"
"Cream Finance","88"
"Creatanium","292"
"Cred","878"
"Credit Tag Chain","780"
"Creditbit","1461"
"Creditcoin","267"
"Credits","957"
"Credo","1118"
"Creed Finance","45"
"CrevaCoin","1667"
"Crex Token","392"
"Cropcoin","438"
"Cross Finance","3"
"Crowd Machine","883"
"CrowdWiz","684"
"Crowdholding","704"
"Crown","1721"
"Crust","27"
"CryCash","890"
"CryptalDash","722"
"Cryptaur","859"
"CrypticCoin","691"
"Crypto Accept","17"
"Crypto Cricket Club","85"
"Crypto Harbor Exchange","377"
"Crypto Holding Frank Token","165"
"Crypto Improvement Fund","325"
"Crypto Price Index","70"
"Crypto Sports","465"
"Crypto User Base","84"
"Crypto Village Accelerator","87"
"Crypto.com Chain","265"
"Crypto.com Coin","403"
"CryptoAds Marketplace","405"
"CryptoBharatCoin","155"
"CryptoBonusMiles","403"
"CryptoBossCoin","356"
"CryptoCarbon","1361"
"CryptoEnergy","205"
"CryptoFlow","749"
"CryptoFranc","462"
"CryptoPing","1144"
"CryptoSoul","714"
"CryptoVerificationCoin","452"
"CryptoWater","13"
"CryptoWorldNews","52"
"Cryptobuyer","204"
"Cryptocean","414"
"Cryptoindex.com 100","467"
"Cryptoinvest","203"
"Cryptojacks","1490"
"Crypton","54"
"Cryptonex","1097"
"Cryptonite","1742"
"Cryptopay","986"
"Cryptrust","734"
"Crystal Clear","1022"
"Crystal Token","700"
"Cube","947"
"Cubiex","443"
"Culture Ticket Chain","89"
"Curecoin","1748"
"Curio","299"
"Curve DAO Token","77"
"Custody Token","421"
"CustomContractNetwork","571"
"Cyber Movie Chain","713"
"CyberFM","788"
"CyberMiles","1044"
"CyberMusic","750"
"CyberVein","910"
"Cybercoin","78"
"Cybereits","854"
"Cyclops Treasure","21"
"D Community","366"
"DABANKING","408"
"DACC","788"
"DACC2","70"
"DACH Coin","397"
"DACSEE","773"
"DAD","241"
"DAD Chain","118"
"DAEX","890"
"DAO.Casino","988"
"DAOBet","183"
"DAOFi","1"
"DAOstack","890"
"DAPS Coin","749"
"DARMA Cash","145"
"DATA","993"
"DATx","943"
"DAV Coin","775"
"DApp Evolution","73"
"DCORP Utility","569"
"DDKoin","445"
"DEAPcoin","190"
"DECENT","1400"
"DECOIN","410"
"DEEX","730"
"DEMOS","89"
"DEONEX COIN","62"
"DEW","577"
"DEX","702"
"DEXA COIN","241"
"DEXON","145"
"DEXTER","243"
"DEXTools","83"
"DFOhub","79"
"DIA","75"
"DIMCOIN","992"
"DIPNET","674"
"DMD","53"
"DMScript","80"
"DMarket","975"
"DMme","352"
"DNotes","1693"
"DOC.COM","875"
"DOCH COIN","120"
"DODO","5"
"DOGEFI","53"
"DOS Network","566"
"DOTDOWN","48"
"DOTUP","48"
"DOWCOIN","745"
"DPRating","775"
"DREP","505"
"DSLA Protocol","182"
"DSYS","74"
"DTOP Token","76"
"DUO Network Token","508"
"DWS","803"
"DXdao","143"
"DaTa eXchange","544"
"Dai","342"
"Daikicoin","188"
"Dalecoin","1082"
"Daneel","886"
"Dapp Token","435"
"Darcrus","959"
"Darico Ecosystem Coin","724"
"Dark Energy Crystals","73"
"Dark.Build","14"
"DarkPay","252"
"Darwinia Commitment Token","85"
"Darwinia Network","89"
"Dash","1745"
"Dash Cash","361"
"Dash Green","629"
"Dashcoin","376"
"Data Transaction Token","364"
"Databroker","267"
"Datacoin","1178"
"Datamine","85"
"Datamine FLUX","81"
"Datarius Credit","864"
"Datawallet","972"
"Datum","1029"
"Davecoin","19"
"Davies","156"
"Davinci Coin","796"
"Davion","298"
"Dawn Protocol","145"
"Dcoin Token","78"
"DeFi Bids","53"
"DeFi Firefly","26"
"DeFi Insurance Protocol","14"
"DeFi Nation Signals DAO","79"
"DeFi Omega","68"
"DeFi Pulse Index","45"
"DeFiChain","84"
"DeFiPie","76"
"DeFiat","53"
"DeFiner","14"
"DeFinition","68"
"DeVault","486"
"DeXe","14"
"Debitum","86"
"DecentBet","1061"
"Decentr","85"
"Decentrahub Coin","75"
"Decentraland","1125"
"Decentralized Asset Trading Platform","713"
"Decentralized Crypto Token","589"
"Decentralized Data Assets Management","75"
"Decentralized Machine Learning","853"
"Decentralized Vulnerability Platform","392"
"Decimated","193"
"Decision Token","738"
"Decred","1703"
"Decurian","86"
"DeepBrain Chain","1021"
"DeepCloud AI","407"
"DeepOnion","1158"
"Defi","403"
"Defi Shopping Stake","21"
"DefiBox","49"
"Definitex","52"
"Defis","88"
"Defis Network","74"
"DegenVC","68"
"Degenerate Platform","52"
"Dego Finance","42"
"Delphy","1068"
"DeltaChain","767"
"Demeter Chain","327"
"Denarius","1199"
"Dent","1159"
"Dentacoin","1158"
"Derivex","85"
"Dero","907"
"Desire","1074"
"Destiny Success","84"
"Dether","962"
"Deutsche eMark","1745"
"Dev Protocol","80"
"Devery","982"
"DeviantCoin","908"
"Dexchain","78"
"Dexter G","539"
"Dextoken","68"
"Dextrust","62"
"Dfinity (IOU)","84"
"DiFy.Finance","25"
"Diagon","40"
"Diamond","1749"
"Diamond Platform Token","520"
"Diamond Voucher","72"
"Dice","76"
"Dice.Finance","53"
"Digex","62"
"DigiByte","1742"
"DigiDinar","84"
"DigiDinar Token","79"
"DigiFinexToken","819"
